[2025-09-20 13:45:16.330] [info]  DiscordSplash.signalReady
[2025-09-20 13:45:16.347] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-20 13:45:16.348] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-09-20 13:45:16.349] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-20 13:45:16.350] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-09-20 13:45:16.350] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-20 13:45:16.350] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-09-20 13:45:16.350] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-20 13:45:16.350] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-09-20 13:45:16.351] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-20 13:45:16.351] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-09-20 13:45:16.351] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-20 13:45:16.351] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-09-20 13:45:16.351] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-20 13:45:16.352] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-09-20 13:45:16.978] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-20 13:45:16.978] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-09-20 13:45:17.330] [info]  Splash.updateCountdownSeconds: undefined
[2025-09-20 13:45:17.526] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-20 13:45:17.527] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-09-20 13:45:17.557] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-20 13:45:17.557] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-09-20 13:45:17.560] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-09-20 13:45:17.560] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
